ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch,SampleStep
-46.01340866088867,-40.772827,52405.812,6.064986,0.09564051,10.770489401255167,315361.44,2293.9824,-22939.697265625,-22932.344,73535.125,3533,96900
-44.36992263793945,-40.767197,36027.273,5.8519926,0.10861936,9.06227660173855,141321.72,1946.5194,-10927.7294921875,-10920.369,73601.47,3553,97500
-44.04813766479492,-40.830746,32173.934,6.880764,0.09964986,32.68275064608996,93328.5,1627.1252,-7464.0185546875,-7456.6543,73643.75,3567,97900
-43.642906188964844,-40.696735,29461.723,4.984455,0.09124057,14.468420907996537,96823.125,1668.8033,-7728.69921875,-7721.33,73690.61,3598,98700
31.343433380126953,34.60112,32576.867,0.120393276,0.0021205186,43.41458605814968,60819.773,972.6072,-4821.34228515625,-4813.9683,73741.61,3737,102500
-43.10385513305664,-40.65992,24439.36,4.4935455,0.08592272,14.704606633546447,55016.773,874.4914,-4362.27880859375,-4354.9004,73784.664,3901,107200
-48.862030029296875,-43.476562,53854.67,40.804443,0.61729586,12.902698402220283,49425.453,690.83026,-3859.6552734375,-3852.2703,73850.01,3943,108300
-45.69989013671875,-41.197205,45026.875,11.053492,0.22393464,88.27801628837277,38715.82,475.93414,-2989.554443359375,-2982.1592,73951.445,4257,116900
-49.300655364990234,-42.23292,70677.336,22.21659,0.63822097,24.74332578195315,59753.016,442.78687,-4390.673828125,-4383.2666,74072.28,4285,117600
-46.5439567565918,-41.08111,54628.484,8.818036,0.2759063,76.07285781208923,236262.25,372.56732,-16287.1240234375,-16279.713,74109.16,4308,118300
-56.65254592895508,-51.78414,48684.03,155.4282,1.4319599,19.57951170015553,53423.63,348.198,-3898.3828125,-3890.9658,74169.79,4320,118600
-45.06580352783203,-40.75422,43115.844,5.453123,0.12932105,29.601839570312414,34148.332,262.36383,-2535.991455078125,-2528.57,74213.336,4410,121100
-195.3693389892578,-188.49799,68713.56,2005.5173,18.460293,13.620135807826948,32213.648,222.32217,-2377.986328125,-2370.5596,74267.95,4569,125600
47.50528335571289,51.561195,40559.12,0.011144655,0.0008439057,21.047114889525425,22755.078,144.8664,-1685.5408935546875,-1678.1078,74331.13,4622,127200
-120.68282318115234,-113.69136,69914.6,1008.286,7.633367,6.514033582181942,20143.402,116.83738,-1489.858154296875,-1482.4153,74428.39,4674,128800
-45.775211334228516,-40.830677,49445.33,6.822843,0.105342165,7.166177701522986,17283.777,107.143456,-1289.8087158203125,-1282.3514,74573.2,4774,131700
47.46774673461914,52.378464,49107.156,0.011155777,0.0008180388,23.33400995307307,14762.174,80.70569,-1101.302490234375,-1093.8308,74716.86,4848,133800
-51.83144760131836,-44.720062,71113.85,62.203487,0.31505382,45.65182673076885,13615.434,72.6688,-1018.2826538085938,-1010.7953,74873.36,4973,137400
50.48270034790039,53.972473,34897.72,0.0064985976,0.00080481323,51.22328660365396,12039.331,55.70859,-900.1728515625,-892.66754,75053.25,5016,139300
-167.4889678955078,-160.73795,67510.19,1665.5586,11.432075,10.33904387248319,9971.063,47.6977,-754.81640625,-747.292,75244.07,5096,141300
-48.328731536865234,-42.388313,59404.188,22.3773,0.8517858,12.356737294209317,8394.994,41.86037,-644.2387084960938,-636.6932,75455.24,5100,141400
-47.407833099365234,-41.54305,58647.85,13.715444,0.4688325,20.931791744635092,7954.5225,37.28615,-611.3597412109375,-603.7921,75676.22,5176,143400
-43.349395751953125,-40.636395,27130.012,4.188228,0.08273952,15.910416626457213,6857.918,30.186535,-532.3744506835938,-524.7834,75910.91,5358,148600
37.628902435302734,40.692604,30637.02,0.022207266,0.001476737,8.351560858591576,5436.994,23.534344,-431.7473449707031,-424.13144,76159.03,5399,149500
-378.5627136230469,-370.94678,76159.49,4643.0938,24.327541,11.749116462350806,4540.587,18.175863,-367.48944091796875,-359.8477,76417.66,5403,149600
-167.53407287597656,-160.86185,66722.33,1725.5686,5.614191,68.3896494244367,3589.686,13.366144,-299.9165954589844,-292.24786,76687.26,5474,151800
