Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,AverageReturn,Epoch
77615700.0,3526573.5,-231164559360.0,-231164560000.0,81221.31,-48.456206193390024,49
21631328.0,304336.72,-11203297280.0,-11203297000.0,80637.14,-33.49784478232939,50
17861802.0,285293.8,-5197327360.0,-5197327400.0,80418.0,-26.947337333326413,51
16068419.0,296016.62,-2494434816.0,-2494434800.0,80291.06,-4.335505133105157,52
15774762.0,168432.42,-821099264.0,-821099260.0,80208.97,-11.846076158974283,53
15252322.0,349319.75,-539657600.0,-539657600.0,80161.8,-13.972124929284579,54
13777070.0,226457.2,-564740480.0,-564740500.0,80130.53,-14.312225090563663,55
13319915.0,239501.28,-203455264.0,-203455250.0,80107.95,-2.678574278902647,56
12260375.0,247527.16,-29636358.0,-29636350.0,80090.07,-14.409144626238684,57
12748812.0,301367.94,-85686064.0,-85686056.0,80078.234,-31.305499562572802,58
12583265.0,355238.06,-171161088.0,-171161070.0,80067.28,-25.925736886237342,59
14730932.0,249568.11,-7430419.0,-7430411.0,80056.91,-30.08057207386247,60
13524670.0,514431.62,-1396348.0,-1396340.0,80058.59,-12.261906287460526,61
14151165.0,557836.5,-72442264.0,-72442260.0,80055.516,-12.523253383328713,62
14433966.0,319657.5,-4131963.5,-4131955.5,80052.445,-11.55777938844377,63
13513372.0,271020.03,-3553959.25,-3553951.2,80049.7,-18.60329108598979,64
13934472.0,464917.62,-1754741.0,-1754733.0,80046.57,-13.003013655087695,65
11575734.0,310073.16,-59092628.0,-59092620.0,80045.36,-16.506577082349583,66
14680573.0,420265.06,-2819801.5,-2819793.5,80038.836,-1.7282776482848776,67
13220510.0,319294.3,-1110721.375,-1110713.4,80034.25,-12.110189897987874,68
13721757.0,344784.22,-2222345.5,-2222337.5,80032.09,-18.597112949414573,69
12643378.0,322800.8,-1989441.125,-1989433.1,80030.945,-10.266201484666604,70
13578235.0,617826.4,-1336937.375,-1336929.4,80028.11,-9.163105272674434,71
11349808.0,371225.0,-19035668.0,-19035660.0,80025.23,-20.20908029163904,72
12180224.0,316942.75,-1038736.375,-1038728.4,80021.0,-20.772753963560177,73
10546564.0,333404.72,-1635066.0,-1635058.0,80018.836,-25.51945871591927,74
10623364.0,274702.34,-1016440.0,-1016432.0,80014.56,-25.263182774461495,75
11635198.0,322932.5,-1006726.9375,-1006718.94,80010.29,-17.445388493691702,76
9754819.0,223706.31,-811524.125,-811516.1,80004.98,-18.214227347960666,77
9261268.0,320406.12,-843561.125,-843553.1,79999.766,-26.641500036689948,78
10864626.0,341051.2,-966026.625,-966018.6,79991.945,-18.406716538752658,79
9059222.0,195639.6,-745462.625,-745454.6,79985.9,-18.193154217555424,80
8472012.0,345445.5,-807097.625,-807089.6,79974.91,-24.331747953598516,81
7017110.5,285627.56,-668170.5,-668162.5,79964.78,-0.39766794295400926,82
7746175.5,163360.34,-634769.25,-634761.25,79950.69,-13.099242872464993,83
8048354.0,239139.48,-706495.0,-706487.0,79933.75,-14.409140889967594,84
7455477.0,336834.12,-732484.0,-732476.0,79908.39,-12.203246600793516,85
