ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Epoch,SampleStep
-431234842624.0,-431234840000.0,23900.422,22724872.0,9637983.0,24.0,86,5006
-1431985664.0,-1431985700.0,22086.537,9213808.0,19407.746,31.0,87,5199
-308782816.0,-308782820.0,20981.508,8134204.5,21606.45,0.0,90,5924
-207714208.0,-207714200.0,19615.906,6458823.0,16815.63,0.0,91,6526
-151920816.0,-151920820.0,19490.389,6141174.5,16100.725,0.0,92,7128
-61199268.0,-61199268.0,19435.664,6039716.5,14508.051,0.0,93,7730
-60461744.0,-60461744.0,19405.416,5644657.0,18656.305,0.0,94,8332
-40235084.0,-40235084.0,19410.34,5283166.5,16902.418,0.0,95,8934
-36252936.0,-36252936.0,19437.621,4868254.0,17426.523,0.0,96,9536
-29785102.0,-29785100.0,19481.777,4462148.5,17191.957,0.0,97,10138
-33444562.0,-33444560.0,19540.89,4008158.5,15145.515,0.0,98,10740
-24637492.0,-24637490.0,19615.129,3431127.5,17633.164,0.0,99,11342
-21698712.0,-21698710.0,19703.209,2936121.0,17120.895,0.0,100,11944
-17490020.0,-17490018.0,19805.43,2418541.0,22313.352,0.0,101,12546
-18081308.0,-18081306.0,19920.195,1902605.8,24003.764,0.0,102,13148
-11045902.0,-11045900.0,20048.242,1388556.2,22552.527,0.0,103,13750
-9599117.0,-9599115.0,20188.168,992440.25,24355.848,0.0,104,14352
-8988639.0,-8988637.0,20340.234,629039.2,24564.465,0.0,105,14954
-7550497.5,-7550495.5,20508.336,390516.66,26573.07,0.0,106,15556
-6100883.0,-6100881.0,20689.322,239666.17,18573.771,0.0,107,16158
-4818800.5,-4818798.5,20884.104,177010.48,19379.367,24.0,108,16376
-4922588.5,-4922586.5,21090.844,158478.84,24276.451,0.0,109,16978
-3038095.0,-3038092.8,21310.762,132439.34,20319.45,0.0,110,17580
-2373194.25,-2373192.0,21539.66,138729.03,22075.86,0.0,111,18182
-2221847.5,-2221845.2,21781.113,127675.24,23110.816,0.0,112,18784
-1743724.875,-1743722.6,22034.809,113606.58,19901.81,0.0,113,19386
-1826996.0,-1826993.8,22297.188,99992.17,22107.436,0.0,114,19988
-1180397.75,-1180395.5,22570.824,86209.21,17470.86,0.0,115,20590
-1309227.5,-1309225.2,22850.107,82237.25,19767.695,0.0,116,21192
-1028725.25,-1028722.94,23142.01,73191.875,18317.062,0.0,117,21794
-621401.375,-621399.0,23440.426,58123.63,17067.572,0.0,118,22396
-557834.6875,-557832.3,23747.87,49688.73,14875.961,0.0,119,22998
-538996.9375,-538994.56,24061.17,40535.6,12464.707,0.0,120,23600
-413192.90625,-413190.47,24384.371,36011.195,11091.116,0.0,121,24202
-313681.875,-313679.4,24714.777,30429.883,9520.943,0.0,122,24804
-276548.15625,-276545.66,25050.375,28351.336,8859.234,0.0,123,25406
-226266.34375,-226263.8,25396.988,25254.082,8331.303,0.0,124,26008
-198869.328125,-198866.75,25745.05,24974.875,7665.8096,0.0,125,26610
-149141.53125,-149138.92,26103.398,20373.188,6460.4653,0.0,126,27212
-136063.15625,-136060.52,26469.94,20106.277,6018.7217,0.0,127,27814
-115881.5078125,-115878.82,26846.133,18026.203,5871.448,0.0,128,28416
-81988.8203125,-81986.1,27221.945,16136.949,5271.204,0.0,129,29018
-93308.671875,-93305.914,27607.965,14284.297,4067.2485,0.0,130,29620
-74919.8828125,-74917.086,27998.398,12357.972,4364.59,0.0,131,30222
