ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Epoch
-256038.109375,-256030.0,81119.61,3049202.0,73364.42,-10.426565905841178,248
-210931.65625,-210923.56,80999.83,2460917.5,65534.05,-68.79036721329587,251
-190947.453125,-190939.38,80857.914,2131772.2,68915.73,-5.046601985634709,254
-150410.5,-150402.44,80692.86,1646011.9,57585.816,-11.969443709264047,257
-122132.7265625,-122124.67,80508.125,1294815.0,50916.316,-21.609677216420693,260
-93108.28125,-93100.25,80308.91,957483.1,41756.89,-54.394004384234634,263
-78062.8046875,-78054.79,80120.37,800428.8,35227.96,-3.669229028199244,266
-55289.69921875,-55281.703,79978.125,558418.7,25774.656,8.858679877208743,269
-43659.68359375,-43651.69,79902.65,420450.3,22384.527,-10.259264884743338,272
-33163.55078125,-33155.562,79884.125,294410.84,19477.178,-21.31050820235306,275
-25596.26953125,-25588.277,79913.86,235605.33,14174.709,-20.926263323157933,278
-19317.859375,-19309.86,80007.72,166935.94,11763.33,-16.22068501400825,281
-13281.13671875,-13273.123,80140.65,132003.44,6335.4224,-23.045777259363206,284
-11102.4873046875,-11094.455,80318.08,108095.03,5506.605,-47.58230623259898,287
-8078.0810546875,-8070.0254,80555.53,82077.625,3638.8083,-29.53429736907183,290
-5842.3212890625,-5834.2354,80857.375,60114.914,2531.0042,-18.921504422647164,293
-4009.324951171875,-4001.2034,81215.72,41992.266,1634.3933,-6.516926913222104,296
-2665.578857421875,-2657.417,81618.58,29765.684,871.1892,-14.007719446255992,299
-2453.53662109375,-2445.3293,82072.875,28819.285,652.40356,-22.561427939205853,302
-1577.8353271484375,-1569.578,82573.58,17530.707,487.06604,-28.42588213744089,305
-1011.4844970703125,-1003.1724,83120.55,11472.988,255.79756,-31.580156471032286,308
-651.3209838867188,-642.9504,83706.13,7323.6963,138.38641,-52.24377043948472,311
-782.0982666015625,-773.6759,84223.555,9057.061,158.23756,-26.944256917050815,314
-396.24847412109375,-387.79974,84487.29,3986.737,95.01783,-64.97966003254204,317
-289.23681640625,-280.76782,84689.8,2682.9639,67.22223,-27.083344333632585,320
-229.7761993408203,-221.29494,84812.58,1878.3506,59.79387,-31.674013987850785,323
-168.765625,-160.28587,84797.58,1203.7758,37.091476,-7.271752088699326,326
-130.18948364257812,-121.73143,84580.55,715.24817,28.968048,-14.16613841059078,329
-112.02213287353516,-103.61079,84113.45,518.3142,21.882545,-11.779357144679897,332
-93.7492904663086,-85.41485,83344.44,304.19394,16.404415,-14.360596909946743,335
-79.95677947998047,-71.729355,82274.266,170.32758,9.566487,-26.300872306485356,338
-76.69255065917969,-68.608475,80840.8,145.40332,7.4468365,-30.40120554521379,341
-203.9456787109375,-196.02304,79226.305,2029.5342,7.3284106,-26.41824793927065,344
-216.84405517578125,-209.05164,77924.27,716.43945,157.8917,-1.3880544564733812,347
-156.266357421875,-148.54605,77203.125,584.94666,81.62516,-30.981532553749773,350
-129.1453399658203,-121.50012,76452.11,400.32816,60.11822,-60.45518881521621,353
-106.8573989868164,-99.29236,75650.414,277.2356,39.608593,-27.157243517876065,356
-105.43115997314453,-97.94812,74830.41,245.66124,40.779503,-52.08457703581845,359
-89.49836730957031,-82.09581,74025.55,214.63303,20.4556,-3.1810798466793218,362
-78.17205810546875,-70.84503,73270.25,134.29137,11.863237,-8.190211676230714,365
-77.45185089111328,-70.20335,72485.08,162.0174,8.142349,27.48921123402911,368
-333.8705749511719,-326.68655,71840.31,3961.1987,7.258024,-37.839128906130625,371
-414.45111083984375,-407.28592,71651.79,1137.9221,408.6963,-21.69444134880722,374
-174.60235595703125,-167.44568,71566.78,785.9751,89.45238,-54.59313008980206,377
