time_sampling,AverageReturn,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,time_VF,VF_error_before,VF_error_after,Epoch
0.736214161,109.5681646,30.46549838,141.8411355,31.53658422,3.647823643,1,0.007748365,0.044178724,0.5002129,0.15063076,77.65126346,0.096036673,0.997534883,0.94342193,1
0.690432072,100.6132408,40.99463975,153.4830821,2.34174236,4.194539186,1,0.016824484,0.051027298,0.49944142,0.26474577,79.9474612,0.091015816,0.94526622,0.761217314,2
0.667263508,95.83182317,38.99228467,157.6258091,11.43231607,4.148183107,1,0.016959667,0.048498631,0.50169414,0.21031266,81.53589739,0.097514153,0.752759473,0.433961415,3
0.708377361,92.33595748,37.89876166,141.2130513,36.60198755,3.80320692,1,0.007481098,0.049100876,0.4989348,0.1817647,82.6159034,0.094155788,0.463422023,0.376780585,4
0.736641169,90.24028571,35.57814678,144.7450767,47.75489996,4.151687043,1,0.017377853,0.042731524,0.50059485,0.16107205,83.37834163,0.110363007,0.292211204,0.28250293,5
0.72830081,85.19674648,59.41690442,132.008703,-75.05573352,4.044009518,1,0.008203506,0.049763203,0.4995018,0.17599915,83.56018212,0.086869717,0.393475787,0.388629992,6
0.716666222,110.22708,17.45202256,139.3493696,82.13834585,4.732985614,1,0.012855291,0.042739391,0.49725592,0.15917347,86.2268719,0.080743074,0.251838508,0.217431868,7
0.627564669,83.81818402,51.15591643,144.7885771,-27.88762781,2.936082093,1,0.017235041,0.053794146,0.50078416,0.1467029,85.98600312,0.100841761,0.508786667,0.442442198,8
0.586473465,60.47537676,53.32017745,116.8682292,-43.58117252,3.078076373,1,0.01237011,0.033780575,0.499761,0.1891676,83.43494048,0.061413765,0.662186201,0.596787614,9
0.432758093,77.8994291,31.22773605,108.4783767,13.41985705,4.907687296,1,0.010362864,0.03670907,0.50101644,0.19003902,82.88138934,0.061141014,0.329132232,0.273816326,10
0.638310909,75.10595716,32.24818587,115.9221286,-6.523277641,3.690532488,1,0.02287364,0.040634155,0.4987005,0.1744558,82.10384612,0.10428381,0.345657512,0.34005406,11
0.676950455,94.0044778,14.76044531,124.8229366,64.58292495,4.677019162,1,0.018995523,0.037873507,0.49976844,0.15846267,83.29390929,0.123929024,0.235665633,0.207560015,12
0.718969345,95.02618225,23.10673136,115.8616968,40.56996331,4.477379536,1,0.025981426,0.040016651,0.4998124,0.22193268,84.46713659,0.100630045,0.209871793,0.202991584,13
0.664508581,90.08898319,30.92302048,145.2911396,25.38677822,4.432788158,1,0.014815331,0.055714369,0.49957773,0.2038616,85.02932125,0.085424423,0.246331788,0.240057031,14
0.722893715,68.95379178,28.68097192,115.173542,26.12724173,3.968436858,1,0.017397881,0.047016621,0.5017041,0.16785216,83.4217683,0.102175474,0.343386781,0.301642788,15
0.727198601,77.39774945,44.00610735,129.3761981,-41.28204226,2.516273155,1,0.017760992,0.042542458,0.5002321,0.14871356,82.81936642,0.093048573,0.375798315,0.355597748,16
0.564696312,72.55663764,27.11181304,126.9159648,36.42434438,4.375965046,1,0.018914223,0.038614988,0.500177,0.16795638,81.79309354,0.098813295,0.254026974,0.247224357,17
0.560652494,77.9446818,28.56947841,123.6387646,12.26765547,4.437657076,1,0.011255264,0.033272028,0.5007517,0.16398919,81.40825236,0.066436291,0.207278309,0.193486116,18
0.434023619,73.91221735,20.04412654,106.6957039,38.32094379,4.963897276,1,0.013773918,0.035391569,0.49732295,0.17090395,80.65864886,0.068182945,0.237375124,0.225893351,19
0.416546106,89.82877552,20.91795839,117.6914501,54.2795015,4.378556428,1,0.01299715,0.033697844,0.49838388,0.1542985,81.57566153,0.077235699,0.218755429,0.198733949,20
0.426251888,62.12413248,38.61550708,112.1296099,-38.75327167,5.012612088,1,0.012975454,0.033558846,0.5003503,0.14206797,79.63050862,0.067495823,0.497987033,0.399347073,21
0.554236174,81.76384989,25.01293832,111.2472988,20.96482751,4.701040434,1,0.016739368,0.049777269,0.5008057,0.23957525,79.84384275,0.092187405,0.261445078,0.174624114,22
0.643847942,68.45711948,28.3936699,130.6877408,17.65597971,4.825594757,1,0.016408443,0.046648026,0.50006455,0.19535826,78.70517042,0.09105587,0.282455848,0.231926186,23
0.666740417,49.65334749,23.25957725,86.65130778,5.461270373,4.28918542,1,0.012560368,0.034323215,0.50058985,0.16766763,75.79998813,0.067713022,0.341669067,0.285882103,24
0.411285877,71.35637326,44.3170837,123.4462362,-15.05151606,3.964946621,1,0.012408972,0.033672094,0.501059,0.21759188,75.35562664,0.074803591,0.389531073,0.335676022,25
0.483339787,36.58390811,55.25305295,111.186635,-58.56170877,4.186348096,1,0.025023937,0.028601646,0.5125845,0.23908758,71.47845479,0.109990597,0.831786796,0.657000927,26
0.78799057,54.42150204,62.43494033,126.6560085,-69.68500481,3.137282381,1,0.019417286,0.051832676,0.50274926,0.21057235,69.77275952,0.104862213,0.579665095,0.54313988,27
0.417472363,84.46330935,33.46691034,127.0639068,41.84155293,4.246163357,1,0.012253523,0.033540249,0.506414,0.22383744,71.2418145,0.064310789,0.313656213,0.239009405,28
0.503027678,61.55051355,44.25765941,116.5694236,-32.52447443,3.782410909,1,0.037890196,0.036990881,0.4973485,0.23448952,70.2726844,0.120599985,0.412905665,0.330837057,29
0.604295969,62.97530701,35.20990127,103.2100245,-4.816601916,3.800277116,1,0.019553661,0.046971321,0.5031894,0.1505622,69.54294666,0.13069725,0.268243051,0.251537867,30
