ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch
-209025859584.0,-209025860000.0,81221.31,74557150.0,2819689.8,12.541482334614715,14563446.0,223556.97,-2018074496.0,-2018074500.0,80275.18,50
-10473364480.0,-10473364000.0,80621.305,27927508.0,290186.88,-16.976818512581048,13214975.0,272274.44,-757949184.0,-757949200.0,80095.34,53
-1716494080.0,-1716494100.0,80289.54,22858098.0,343275.62,-16.210994827449927,10811654.0,202523.2,-26642098.0,-26642090.0,80060.086,56
-406974560.0,-406974560.0,80175.98,19452544.0,435818.38,-19.25342563029305,12115445.0,371703.62,-105909600.0,-105909590.0,80037.91,59
-146615632.0,-146615620.0,80130.375,19160128.0,414001.56,-28.573621196395752,11803374.0,248832.73,-30249868.0,-30249860.0,80026.375,62
-19017150.0,-19017142.0,80109.38,15988914.0,499691.78,-29.373082129997194,10809976.0,186832.78,-857972.625,-857964.6,80013.64,65
-7724288.0,-7724280.0,80102.32,16026749.0,483212.16,-14.472331576902372,10702144.0,277795.22,-912228.0,-912220.0,80012.81,68
-1270285.75,-1270277.8,80095.45,14294730.0,417133.6,-45.561571824385965,9445465.0,265128.94,-818620.5625,-818612.56,80002.516,71
-1291052.0,-1291044.0,80089.36,14510964.0,447721.2,-30.164017980750963,9505772.0,221041.31,-792868.375,-792860.4,80000.8,74
-1140161.0,-1140153.0,80079.92,13424167.0,342434.75,-23.16206907307865,7137649.0,245800.16,-8036616.0,-8036608.0,79989.31,77
-936579.75,-936571.75,80066.31,10795766.0,304420.2,-11.94835134458032,7761576.5,222561.55,-675871.5,-675863.5,79966.2,80
-840674.625,-840666.6,80052.05,9815390.0,260728.34,-2.7806643310275687,6518792.0,190181.25,-569864.125,-569856.1,79927.59,83
-759594.875,-759586.9,80025.27,8798660.0,242580.77,-12.122165286096719,5862309.0,177651.64,-516963.0625,-516955.06,79880.73,86
-650305.75,-650297.75,79985.37,7499217.0,211016.22,-20.764008407322663,5504708.0,137000.73,-465257.4375,-465249.47,79811.09,89
-587621.125,-587613.1,79928.55,6723636.0,195938.19,-14.856612708816114,4445635.0,138322.97,-394487.25,-394479.28,79706.08,92
-538019.1875,-538011.2,79852.05,6181076.0,176891.94,-34.689478392466626,3613549.5,79877.21,-298633.09375,-298625.12,79580.89,95
