ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch
-223631507456.0,-223631500000.0,81221.31,73364270.0,3010440.5,6.91871372461783,18280740.0,219429.62,-2458844928.0,-2458845000.0,80262.9,50
-8573277184.0,-8573277000.0,80616.24,25214868.0,281840.06,-17.18003973625905,16180417.0,270246.12,-737123776.0,-737123800.0,80089.34,53
-1071108544.0,-1071108540.0,80337.36,21288340.0,414365.28,-18.602946976414053,14692032.0,299201.2,-20264200.0,-20264192.0,80043.55,56
-368911680.0,-368911680.0,80244.18,17773980.0,482227.28,-4.3029770192605294,16187028.0,595442.4,-12212658.0,-12212650.0,80036.22,59
-57847096.0,-57847090.0,80202.25,18334990.0,474911.62,-27.805602735038516,15387136.0,338190.9,-1270118.75,-1270110.8,80027.336,62
-16204261.0,-16204253.0,80187.89,16615986.0,586572.25,-21.89271186031515,15107908.0,379052.38,-1283179.125,-1283171.1,80021.55,65
-6065256.0,-6065248.0,80179.66,15545241.0,546499.1,-8.930772066080502,12799319.0,405839.1,-1140783.25,-1140775.2,80017.14,68
-1446075.875,-1446067.9,80176.914,15479350.0,389495.0,-35.741757812015294,11446180.0,424791.3,-1062044.0,-1062036.0,80010.57,71
-4234409.0,-4234401.0,80170.31,14997989.0,453854.3,-15.549257362351845,9982481.0,287530.8,-1686346.625,-1686338.6,80001.8,74
-1134758.0,-1134750.0,80162.22,13676534.0,309213.34,-23.895791248087697,7547736.5,211593.94,-653979.875,-653971.9,79983.95,77
-1266059.25,-1266051.2,80151.664,10734264.0,344915.4,2.591595707940109,8575458.0,211024.95,-723138.3125,-723130.3,79972.81,80
-1822130.0,-1822122.0,80129.3,10077415.0,276945.7,-2.262832836045338,7284821.0,182642.75,-616598.4375,-616590.44,79934.95,83
-786816.875,-786808.9,80102.76,8985185.0,264157.12,-17.069258353732693,6468818.5,140771.0,-533047.8125,-533039.8,79880.695,86
-748819.0,-748811.0,80054.766,7835559.5,226273.81,-16.851492232249708,6788623.0,101226.8,-527929.625,-527921.6,79783.91,89
