ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Epoch,SampleStep
-13525985280.0,-13525985000.0,23842.332,4781280.0,642183.75,24.0,84,5018
-143419824.0,-143419820.0,22350.676,533745.7,307372.88,0.0,85,5620
-97579304.0,-97579304.0,21521.965,443124.5,177903.45,0.0,86,6222
-66709484.0,-66709480.0,21081.629,405687.8,132508.36,0.0,87,6824
-45347808.0,-45347804.0,20870.48,349359.03,121959.95,24.0,88,7170
-36810948.0,-36810944.0,20809.814,298083.8,79751.97,24.0,89,7292
-25235160.0,-25235158.0,20832.203,258123.5,63522.188,0.0,90,7894
-22121242.0,-22121240.0,20920.316,211377.05,49826.92,0.0,91,8496
-20486556.0,-20486554.0,21054.834,204463.19,37782.426,0.0,92,9098
-39022.75390625,-39020.637,21181.262,192781.69,38344.43,0.0,93,9700
-30384.791015625,-30382.676,21156.607,163906.86,28466.635,0.0,94,10302
-22770.01953125,-22767.906,21138.941,144927.38,19111.393,0.0,95,10904
-22707.478515625,-22705.367,21122.805,142778.88,19233.822,0.0,96,11506
-17246.8125,-17244.701,21109.752,120347.82,13407.092,0.0,97,12108
-16685.96484375,-16683.855,21096.36,113921.03,13220.947,0.0,98,12710
-15624.1318359375,-15622.022,21089.045,102453.03,12798.559,24.0,99,13056
-13105.984375,-13103.876,21080.898,88552.25,10467.293,24.0,101,13236
-12675.6064453125,-12673.5,21067.293,84101.47,10276.357,24.0,109,13508
-10507.828125,-10505.725,21037.344,73727.89,8110.1514,24.0,111,13816
-8409.19921875,-8407.096,21036.723,56934.656,6688.0986,24.0,122,14102
-4443.32568359375,-4441.209,21166.02,39163.58,2604.3735,24.0,128,14450
-2149.920654296875,-2147.7563,21643.72,20575.229,1073.9185,0.0,129,15052
-1985.4464111328125,-1983.2677,21786.559,19106.049,977.7532,24.0,130,15430
-1555.2144775390625,-1553.0193,21951.436,16813.309,571.20105,0.0,131,16032
-1395.600830078125,-1393.3876,22132.482,14705.915,546.0348,0.0,132,16634
-1190.8316650390625,-1188.5986,22330.074,12636.655,450.32147,0.0,133,17236
-1004.1197509765625,-1001.8653,22544.422,10423.237,395.7065,0.0,134,17838
-830.1115112304688,-827.8341,22773.82,8099.1826,370.92682,0.0,135,18440
-734.3587646484375,-732.05695,23018.25,7424.4414,296.86035,25.0,136,19042
-665.7799682617188,-663.4526,23273.902,6618.2485,276.09537,0.0,137,19644
-524.9122314453125,-522.55835,23539.07,5444.544,185.25085,0.0,138,20246
-434.9782409667969,-432.59656,23816.812,4480.272,148.73141,24.0,141,20646
-263.23992919921875,-260.7729,24670.473,2584.5269,84.38297,25.0,144,20725
-156.2985076904297,-153.74924,25492.719,1406.4004,44.03488,26.0,155,21023
-45.18896484375,-42.394123,27948.43,146.25388,5.48769,25.0,166,21321
-36.32872009277344,-33.479218,28495.027,20.50263,4.8882747,24.0,177,21615
-35.40847396850586,-32.655613,27528.617,34.95777,2.2256174,0.0,180,22269
-215.6153106689453,-212.89401,27213.047,720.95935,199.98381,0.0,181,22871
-157.83204650878906,-155.1157,27163.383,605.55005,126.13929,0.0,182,23473
-139.22535705566406,-136.51396,27113.93,423.2436,116.88007,0.0,183,24075
-118.31820678710938,-115.61064,27075.672,342.28244,94.08504,0.0,184,24677
-88.96690368652344,-86.261856,27050.473,250.24298,59.917004,24.0,191,24923
-67.90945434570312,-65.22343,26860.266,105.204575,43.33002,24.0,202,25209
-40.3409423828125,-37.682114,26588.281,44.55092,8.694528,24.0,214,25521
-33.39028549194336,-30.768204,26220.805,13.497862,1.5823772,0.0,217,26175
-32.55519485473633,-29.938171,26170.244,8.426834,0.8628501,0.0,220,26829
-34.65796661376953,-32.038498,26194.686,35.162605,1.2931528,27.0,226,27012
-32.90013122558594,-30.272125,26280.07,13.858186,0.8132336,26.0,237,27315
-32.15782165527344,-29.546976,26108.453,5.5202446,0.57539535,29.0,247,27620
-32.409244537353516,-29.797958,26112.867,11.645729,0.33374977,29.0,257,27930
-32.17665481567383,-29.565187,26114.691,6.794842,0.47484848,29.0,267,28225
-140.8517608642578,-138.22641,26253.568,398.28717,121.90637,24.0,278,28516
-47.46106719970703,-44.784317,26767.508,39.710464,19.674282,24.0,289,28802
-34.34712600708008,-31.62292,27242.055,9.272369,3.268036,24.0,301,29114
-32.59498596191406,-29.845383,27496.047,6.5786676,0.9105394,24.0,312,29401
-32.12232208251953,-29.372063,27502.61,5.122817,0.35664892,0.0,324,30295
-73.88847351074219,-71.14732,27411.469,424.91656,20.113213,0.0,325,30897
-55.07915496826172,-52.33659,27425.64,232.12698,11.593468,0.0,326,31499
-48.71427536010742,-45.97058,27436.957,179.76395,7.422017,24.0,327,31525
-46.389007568359375,-43.644318,27446.898,153.5747,6.603152,30.0,338,31824
-33.39584732055664,-30.631557,27642.883,19.43404,0.78682166,27.0,348,32107
-32.5733757019043,-29.796965,27764.11,8.21485,0.6753704,25.0,359,32413
-32.46882247924805,-29.702858,27659.656,4.7841487,0.87936854,24.0,370,32720
-44.565101623535156,-41.810257,27548.453,174.512,1.7990301,31.0,381,33019
-33.45634078979492,-30.700947,27553.941,20.580566,0.7747143,31.0,391,33326
-32.637298583984375,-29.889122,27481.758,5.5359335,1.0794549,26.0,400,33603
-32.3737907409668,-29.647198,27265.922,5.611182,0.71441054,26.0,410,33918
-34.10625457763672,-31.402418,27038.375,6.5809255,3.211318,26.0,420,34205
-32.03562545776367,-29.345276,26903.492,4.482045,0.38114068,26.0,431,34513
-33.36295700073242,-30.674446,26885.117,21.444893,0.6491198,26.0,442,34818
-32.02027893066406,-29.339718,26805.602,5.6254034,0.25859344,31.0,452,35101
-32.252323150634766,-29.594349,26579.75,4.3269672,0.76473194,25.0,463,35420
-32.36273956298828,-29.727987,26347.53,4.0657053,0.98834753,29.0,473,35727
-5904.7197265625,-5902.1055,26143.387,86196.734,59.986732,24.0,484,36013
-33.89421463012695,-31.268137,26260.773,30.936321,0.5773377,25.0,495,36306
-32.02846145629883,-29.401846,26266.148,5.2446117,0.38848233,27.0,505,36602
-32.07675552368164,-29.455812,26209.414,5.480752,0.44461945,28.0,516,36919
-32.08042907714844,-29.488146,25922.82,6.053358,0.4351447,0.0,525,37774
-108.34514617919922,-105.771965,25731.809,976.9134,16.082224,24.0,526,37896
-90.52188873291016,-87.94652,25753.719,784.5964,8.971278,29.0,534,38124
-44.21501159667969,-41.62391,25911.021,169.75308,1.9995391,30.0,543,38405
-43.009117126464844,-40.404713,26044.04,157.31772,1.4413389,31.0,553,38722
-32.79195022583008,-30.182228,26097.207,14.7645645,0.5897443,31.0,562,39020
-32.06496810913086,-29.466055,25989.125,6.0635242,0.40148002,33.0,571,39332
-32.246822357177734,-29.66911,25777.125,5.3300495,0.77490515,33.0,579,39612
-32.29143142700195,-29.733261,25581.705,9.619832,0.44072866,33.0,588,39926
-32.32066345214844,-29.779734,25409.29,4.3113084,1.0402613,0.0,597,40755
-52.348243713378906,-49.79672,25515.27,220.01547,9.05117,0.0,598,41357
-42.21263885498047,-39.658257,25543.844,98.996315,6.170348,0.0,599,41959
-38.728145599365234,-36.171154,25569.932,73.992065,3.5174985,24.0,600,42145
-35.70882797241211,-33.149654,25591.742,39.843235,2.4671755,24.0,606,42301
-32.25238800048828,-29.68052,25718.707,7.3935266,0.58541596,24.0,618,42613
-34.44434356689453,-31.856865,25874.777,36.72165,0.8688331,24.0,630,42925
-32.6408576965332,-30.041002,25998.562,12.603172,0.5971807,24.0,641,43211
-32.4429931640625,-29.84804,25949.521,6.9378,0.8785548,24.0,653,43523
-34.132781982421875,-31.527502,26052.803,28.996029,1.1546592,34.0,663,43823
-32.2248649597168,-29.616453,26084.117,7.063404,0.5237518,24.0,673,44123
-33.10106658935547,-30.493597,26074.7,17.931526,0.73319364,35.0,683,44416
-32.01118469238281,-29.400208,26109.777,5.335303,0.37699673,24.0,694,44724
-32.82167434692383,-30.225475,25961.988,16.381958,0.49191695,24.0,705,45010
-31.981130599975586,-29.40871,25724.203,5.50653,0.37243378,24.0,716,45300
-36.8967170715332,-34.33356,25631.559,69.77689,1.223399,31.0,728,45619
-34.245933532714844,-31.692387,25535.488,35.44165,0.75376725,24.0,739,45905
-32.25529861450195,-29.707012,25482.863,7.275894,0.6363325,36.0,750,46221
-31.91278076171875,-29.393578,25192.025,5.5907774,0.34164846,36.0,760,46505
-31.96949005126953,-29.473522,24959.676,6.642826,0.35458887,24.0,770,46819
-32.0489616394043,-29.57515,24738.113,5.8989167,0.579162,24.0,781,47106
-31.949270248413086,-29.48633,24629.398,4.6060104,0.5771941,24.0,793,47418
-32.84821701049805,-30.39848,24497.371,20.082863,0.37749365,26.0,804,47716
-56.73479080200195,-54.263485,24713.043,110.72422,26.58133,24.0,815,48024
-33.66887664794922,-31.158281,25105.973,10.784679,2.4301553,27.0,825,48304
-32.115333557128906,-29.615303,25000.3,5.5183177,0.6765615,27.0,836,48609
-32.14896011352539,-29.675322,24736.379,7.2316065,0.59392965,57.0,846,48902
-31.822858810424805,-29.37661,24462.484,4.314477,0.4442038,24.0,857,49221
-31.630916595458984,-29.229452,24014.648,3.654452,0.2927302,24.0,867,49507
-31.649459838867188,-29.302887,23465.729,4.3874245,0.327959,0.0,875,50291
-34.484100341796875,-32.158607,23254.938,19.885078,2.9984047,24.0,880,50421
-32.759422302246094,-30.44263,23167.92,8.389195,1.6121097,57.0,888,50719
-32.120826721191406,-29.817379,23034.465,5.724285,0.9545977,57.0,894,51003
-31.66781234741211,-29.372232,22955.809,3.8075144,0.48843113,0.0,899,51746
