ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Epoch,SampleStep
-5626.27880859375,-5625.012,12665.193,1134.1727,449.08392,-38.3,4,5050
-73.74453735351562,-72.656456,10880.825,43.07599,2.958047,-81.0,5,6060
-18.88763999938965,-17.86496,10226.805,13.451499,0.4413461,-26.4,6,7070
-26.993406295776367,-25.99385,9995.553,12.672916,1.3320935,101.0,7,8080
-16.14702033996582,-15.146231,10007.896,12.009521,0.313671,101.0,8,9090
-5.206495761871338,-4.194831,10116.65,3.081986,0.11128447,101.0,9,10100
-5.854556083679199,-4.8294578,10250.985,4.828617,8.405241e-05,101.0,10,11110
-10.3976411819458,-9.358362,10392.792,3.4427118,0.5915651,101.0,11,12120
-3.9466209411621094,-2.8950746,10515.465,2.8950746,4.6566126e-10,101.0,12,13130
-4.453695297241211,-3.3911662,10625.291,3.376102,0.0015064245,101.0,13,14140
-3.3374085426330566,-2.2661948,10712.139,2.2661831,1.1630663e-06,101.0,14,15150
-2.0139191150665283,-0.936452,10774.672,0.9364475,4.4887955e-07,101.0,15,16160
-1.7285780906677246,-0.6455681,10830.1,0.645568,4.65661e-09,101.0,16,17170
-1.480987787246704,-0.39468682,10863.01,0.3946698,1.7020868e-06,101.0,17,18180
-1.4905396699905396,-0.40384105,10866.986,0.40384012,9.359683e-08,101.0,18,19190
-1.3659874200820923,-0.27942944,10865.58,0.27942944,0.0,101.0,19,20200
-1.234894871711731,-0.15092763,10839.672,0.15092763,0.0,101.0,20,21210
-1.1032111644744873,-0.02214232,10810.688,0.02214232,0.0,101.0,21,22220
-1.2531100511550903,-0.17961141,10734.986,0.16266674,0.0016944683,101.0,22,23230
-1.1329889297485352,-0.067667075,10653.218,0.067667075,0.0,101.0,23,24240
-1.3108270168304443,-0.25516227,10556.648,0.25516227,0.0,101.0,24,25250
-1.1481924057006836,-0.10423666,10439.558,0.10423666,0.0,101.0,25,26260
-1.0642865896224976,-0.032487415,10317.992,0.032487415,0.0,101.0,26,27270
-1.023923397064209,-0.002274744,10216.486,0.002274744,0.0,101.0,27,28280
-1.0631355047225952,-0.052098613,10110.369,0.052098613,0.0,101.0,28,29290
-1.0008445978164673,-0.00093077007,9999.139,0.00093077007,0.0,101.0,29,30300
-1.185263991355896,-0.19682768,9884.363,0.19682768,0.0,101.0,30,31310
-0.977060854434967,-0.00065132475,9764.096,0.00065132475,0.0,101.0,31,32320
-1.0501667261123657,-0.08480713,9653.597,0.08480713,0.0,101.0,32,33330
-1.0070645809173584,-0.05414776,9529.168,0.05414776,0.0,101.0,33,34340
-0.9427148699760437,-0.00043172075,9422.832,0.00043172075,0.0,101.0,34,35350
