ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch
-124188975104.0,-124188975000.0,52076.46,53597520.0,812254.56,-3.26264721813148,8254345.0,188588.56,-6726577664.0,-6726577700.0,51444.156,50
-8857536512.0,-8857537000.0,51535.29,11801448.0,355168.5,-2.7681831474935503,6901531.0,191127.4,-4351791616.0,-4351791600.0,51130.234,53
-3650761728.0,-3650761700.0,51078.164,6150527.0,270408.78,-4.606700905419412,4536318.0,187261.9,-1794040448.0,-1794040400.0,50877.77,56
-1615532160.0,-1615532200.0,50732.605,4881534.5,235268.6,1.2133121136757876,4405621.5,181073.84,-1323739392.0,-1323739400.0,50679.07,59
-701779136.0,-701779140.0,50492.43,3892246.0,192338.16,0.4422396061670349,3980120.0,159328.25,-781090432.0,-781090400.0,50527.99,62
-406877344.0,-406877340.0,50313.27,3270490.5,137109.08,-4.046777618346989,3921499.8,126212.61,-374558208.0,-374558200.0,50424.89,65
-256779792.0,-256779790.0,50164.44,2749735.2,121247.22,-1.7052756012914667,3346318.8,103862.0,-386965536.0,-386965540.0,50343.742,68
-167155936.0,-167155940.0,50032.707,2837016.8,147510.22,-5.24744982273569,3013551.0,97983.45,-89640040.0,-89640030.0,50274.477,71
-85603432.0,-85603420.0,49919.453,2448313.5,116821.97,-7.8612492821169875,3024506.2,99290.805,-143167072.0,-143167070.0,50213.117,74
-43866876.0,-43866870.0,49814.758,2184362.2,111516.81,-3.36355178572665,3834568.8,132933.16,-105580392.0,-105580380.0,50156.508,77
-33954716.0,-33954710.0,49713.492,2034239.5,73425.0,-4.293445760303823,3213245.5,103781.86,-80751472.0,-80751464.0,50101.324,80
-23714720.0,-23714716.0,49620.188,1937872.2,82396.875,-0.27089874014297294,3148492.0,99900.97,-27542894.0,-27542888.0,50059.555,83
-13750942.0,-13750937.0,49532.586,1930659.4,80805.984,-6.259291724909676,2795593.0,145763.62,-3568189.0,-3568184.0,50039.31,86
-10866401.0,-10866396.0,49449.027,1753013.8,77993.85,0.546742918703339,3298238.8,138588.84,-3920640.0,-3920635.0,50026.39,89
-6078713.0,-6078708.0,49363.94,1458785.2,55748.746,-7.717827167366496,2505732.5,112935.03,-5454835.5,-5454830.5,50014.457,92
