ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,AverageReturn,Epoch,SampleStep
-42.38726806640625,-40.660667,17265.99,3.9710145,0.13928191,5.0658245,0.2865453,-43.18646240234375,-40.8344,23520.629,-10.149308783156465,188,18900
-42.31429672241211,-40.64061,16736.855,3.928453,0.113896854,4.6567125,0.25640795,-43.0699462890625,-40.786324,22836.225,-79.1009657439627,191,19200
-42.260780334472656,-40.661087,15996.949,3.3766267,0.19933683,5.197468,0.28018922,-43.04085922241211,-40.83901,22018.512,-19.14119297641186,194,19500
-42.098533630371094,-40.594517,15040.174,3.1382763,0.124799095,4.5191565,0.39758646,-42.98265075683594,-40.87255,21101.012,53.46262557351057,197,19800
-41.99775314331055,-40.590614,14071.389,3.2185535,0.11100708,6.1417656,0.31053853,-42.87303161621094,-40.92344,19495.914,109.53629467646786,200,20100
-137.30126953125,-135.49054,18107.357,16.760159,6.409442,3.588168,0.18879424,-42.52861785888672,-40.668266,18603.516,52.694093447701825,203,20400
-42.535003662109375,-40.801807,17331.973,5.4107847,0.20471087,3.7553632,0.22490403,-42.466426849365234,-40.704014,17624.146,213.6622795009712,206,20700
-42.608985900878906,-40.91857,16904.156,5.4527855,0.3740698,4.353866,0.22593091,-42.398311614990234,-40.74521,16531.037,89.4243968845317,209,21000
-42.391597747802734,-40.73751,16540.887,3.9022868,0.2599873,3.100607,0.20009017,-42.18857955932617,-40.642918,15456.623,36.19106803120566,212,21300
-42.43665313720703,-40.83819,15984.648,5.7956314,0.22455728,3.129745,0.2708683,-42.132720947265625,-40.692783,14399.381,163.8579176072609,215,21600
-42.15101623535156,-40.62681,15242.1,3.100607,0.17628531,2.6461117,0.22647671,-42.01187515258789,-40.630016,13818.588,151.3390603193864,218,21900
-42.045753479003906,-40.59526,14504.928,2.839328,0.15579644,2.6826959,0.17815715,-41.925384521484375,-40.595016,13303.686,151.14774014685125,221,22200
-42.09687042236328,-40.722588,13742.8125,2.5317287,0.15873975,3.4720209,0.19280128,-41.928985595703125,-40.663116,12658.707,132.10305234364142,224,22500
-40.486717224121094,-39.184196,13025.223,4.1165085,0.17883459,3.057796,0.19204621,-41.838809967041016,-40.63399,12048.199,95.44669387515084,227,22800
-14.293758392333984,-12.905211,13885.467,2.4700494,0.19039261,3.0323265,0.26285216,-41.8275032043457,-40.67089,11566.113,39.47471371172883,230,23100
-7.5449323654174805,-5.858686,16862.467,1.2214079,0.17378181,3.407055,0.22101983,-41.79841613769531,-40.67782,11205.961,111.51060709946277,233,23400
0.5751047134399414,2.533677,19585.725,1.0553479,0.18859081,2.7462487,0.2533084,-41.54097366333008,-40.459503,10814.723,147.8255049168721,236,23700
11.502151489257812,13.739347,22371.965,0.59012175,0.1363563,2.634071,0.208741,-40.69720458984375,-39.633667,10635.383,130.7366621182578,239,24000
20.162464141845703,22.695065,25326.012,0.42813236,0.09208828,9.013388,0.259608,-35.786285400390625,-34.683968,11023.16,171.92793226279298,242,24300
23.954240798950195,26.76952,28152.797,0.1707531,0.17868242,2.6501365,0.4004073,-21.40131378173828,-20.165165,12361.484,219.89270573555703,245,24600
26.4113826751709,29.493656,30822.742,0.1747067,0.12255458,0.96959686,0.22444403,-2.324522018432617,-0.9007549,14237.672,179.57524328549079,248,24900
28.127656936645508,31.448544,33208.87,0.14402741,0.1716046,0.6693015,0.29480654,2.3714160919189453,4.020577,16491.607,212.4953847610291,251,25200
