ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch
-192863.71875,-192855.89,78311.016,2563391.2,28586.053,-22.524630760279457,1236431.5,19.800655,-83741.4453125,-83733.53,79142.445,179
-349280.75,-349272.94,78274.32,3147219.8,201358.11,-25.62137971332603,1240813.5,21.850101,-84039.3515625,-84031.43,79217.875,182
-180330.359375,-180322.53,78223.63,2440222.2,22381.033,-22.889943748529397,783302.9,7.1017566,-53070.71875,-53062.793,79265.984,185
-111030.390625,-111022.57,78178.83,1542133.5,9777.649,-14.590389499431986,758919.1,3.1067119,-51418.02734375,-51410.098,79283.64,188
-247773.75,-247765.94,78109.49,3157399.5,50331.93,-1.2296851311340866,555336.75,5.7017345,-37643.8359375,-37635.91,79251.42,191
-156809.4375,-156801.62,78057.17,2123978.5,19245.973,-16.660906068479694,1125071.5,4.108166,-76195.359375,-76187.44,79193.86,194
-100644.359375,-100636.56,77997.08,1268864.0,21756.053,-22.838416928433226,893640.6,10.171879,-60539.08203125,-60531.168,79128.86,197
-106044.9375,-106037.15,77910.95,1506222.2,6001.259,-56.38741466385778,583564.9,2.3799372,-39551.7109375,-39543.797,79134.08,200
-45586.47265625,-45578.684,77877.31,672759.0,1.381981,-34.41938854217504,619713.4,1.9647751,-41997.5234375,-41989.6,79210.78,203
-26042.564453125,-26034.871,76935.39,383488.97,2.756051,-38.37349969416781,276868.44,9.996126,-18803.458984375,-18795.53,79298.68,206
-24870.115234375,-24862.438,76776.95,366509.3,11.654004,-15.853321205425065,417750.75,3.950535,-28332.544921875,-28324.61,79360.516,209
-12162.009765625,-12154.329,76811.14,178796.7,2.728598,-3.8972681252122054,266327.56,1.2237076,-18084.26171875,-18076.318,79436.516,212
-16693.26953125,-16685.582,76880.07,245722.4,6.49596,3.3218912118663217,263350.62,14.335882,-17891.701171875,-17883.748,79531.69,215
-34938.27734375,-34930.58,76980.06,515405.84,0.81474507,-10.432421194056293,179664.14,1.2064942,-12219.958984375,-12211.995,79633.96,218
-11477.1123046875,-11469.404,77084.836,168686.69,1.5420909,0.6721001662049642,149767.66,2.6708574,-10197.935546875,-10189.962,79734.07,221
-10691.9140625,-10684.194,77195.71,156647.33,45.085976,-29.28719186464436,86841.96,2.8206084,-5940.01171875,-5932.03,79817.234,224
-6977.638671875,-6969.9087,77301.19,99671.375,253.66846,-1.9217633151448261,301974.22,84.2417,-20552.609375,-20544.617,79928.7,227
-14855.73046875,-14847.988,77417.695,218259.84,37.13639,-51.009134987990535,135950.5,878.2778,-9855.4921875,-9847.489,80026.195,230
