time_sampling,stoc_pol_mean,AverageReturn,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,time_VF,VF_error_before,VF_error_after,Epoch
0.06932926177978516,40.337067867372696,40.337067867372696,0.0,40.337067867372696,40.337067867372696,0.37888753801887337,0.1,0.0034606456756591797,0.03895711898803711,0.04911074,0.35346553,59.49171567168811,0.0010380744934082031,0.9940539229739064,0.9940539229739064,0
0.06024289131164551,0.4638401050764063,0.4638401050764063,0.0,0.4638401050764063,0.4638401050764063,0.5424634806884576,0.1,0.009068489074707031,0.01768016815185547,0.049764026,0.19229542,53.58892811502694,0.0008671283721923828,1.009435668809968,1.009435668809968,1
0.0708000659942627,52.62436468867561,52.62436468867561,0.0,52.62436468867561,52.62436468867561,0.3897408852189676,0.1,0.009136676788330078,0.019091129302978516,0.051268272,0.21393876,53.49247177239181,0.0011622905731201172,0.9951348022169254,0.9951348022169254,2
0.07186007499694824,22.17813462210975,22.17813462210975,0.0,22.17813462210975,22.17813462210975,0.4747488723691959,0.1,0.009100198745727539,0.01778388023376465,0.049672637,0.22351716,50.36103805736361,0.0008907318115234375,0.9972180674052302,0.9972180674052302,3
0.07038736343383789,43.166673311870554,43.166673311870554,0.0,43.166673311870554,43.166673311870554,0.3695467141039953,0.1,0.002341032028198242,0.02890920639038086,0.050003517,0.34101608,49.6416015828143,0.0009629726409912109,0.9952440426017978,0.9952440426017978,4
0.16083955764770508,69.3371618512261,69.3371618512261,0.0,69.3371618512261,69.3371618512261,0.4571264301402136,0.1,0.001085519790649414,0.017744064331054688,0.0501287,0.2249801,51.611157609655486,0.0009038448333740234,0.9968777025444173,0.9968777025444173,5
0.04061484336853027,38.213149124868636,38.213149124868636,0.0,38.213149124868636,38.213149124868636,0.36011616933495494,0.1,0.0029349327087402344,0.026341915130615234,0.049671493,0.34860516,50.2713567611768,0.0009336471557617188,0.9930297242266926,0.9930297242266926,6
0.039961814880371094,30.1030837937913,30.1030837937913,0.0,30.1030837937913,30.1030837937913,0.4278056090702179,0.1,0.001013040542602539,0.017713069915771484,0.049982138,0.25751004,48.25452946443825,0.0009899139404296875,0.9966736105131947,0.9966736105131947,7
0.05216526985168457,65.43564845466341,65.43564845466341,0.0,65.43564845466341,65.43564845466341,0.5175971828059538,0.1,0.001054525375366211,0.01778244972229004,0.050307296,0.19859543,49.97264136346077,0.0009539127349853516,0.9965512274289416,0.9965512274289416,8
0.05261874198913574,45.728720369473436,45.728720369473436,0.0,45.728720369473436,45.728720369473436,0.4163350081199394,0.1,0.0010433197021484375,0.01779317855834961,0.04960857,0.2662396,49.548249264062036,0.0009043216705322266,0.9951605669795109,0.9951605669795109,9
0.04022693634033203,26.817490414652827,26.817490414652827,0.0,26.817490414652827,26.817490414652827,0.3765452370604775,0.1,0.0010180473327636719,0.02323007583618164,0.05031861,0.26379144,47.275173379121114,0.003002643585205078,0.991175007293057,0.991175007293057,10
0.03985118865966797,113.31903214179685,113.31903214179685,0.0,113.31903214179685,113.31903214179685,0.3305595135128109,0.1,0.0010251998901367188,0.017765283584594727,0.049356848,0.24474174,53.879559255388685,0.0009233951568603516,0.9977067349804046,0.9977067349804046,11
0.0527043342590332,49.87332221702662,49.87332221702662,0.0,49.87332221702662,49.87332221702662,0.43505112625022957,0.1,0.0010542869567871094,0.017818689346313477,0.050102126,0.21684442,53.47893555155248,0.0009746551513671875,0.9958956495530521,0.9958956495530521,12
0.0417783260345459,68.51733279703974,68.51733279703974,0.0,68.51733279703974,68.51733279703974,0.42568377717845274,0.1,0.002960681915283203,0.02349853515625,0.050101746,0.22109851,54.98277527610121,0.0009653568267822266,0.9961613397806057,0.9961613397806057,13
0.04009389877319336,72.70365458317465,72.70365458317465,0.0,72.70365458317465,72.70365458317465,0.4498201343536454,0.1,0.0010225772857666016,0.017839431762695312,0.05039421,0.21759641,56.75486320680855,0.0009129047393798828,0.9964980245194801,0.9964980245194801,14
0.0510554313659668,80.73908241542878,80.73908241542878,0.0,80.73908241542878,80.73908241542878,0.36512486823746426,0.1,0.0010290145874023438,0.01773214340209961,0.050998677,0.24048616,59.15328512767058,0.0009038448333740234,0.9968445422711599,0.9968445422711599,15
0.052606821060180664,42.059426136630165,42.059426136630165,0.0,42.059426136630165,42.059426136630165,0.3877802849127438,0.1,0.009530782699584961,0.017795085906982422,0.048537567,0.5211291,57.44389922856654,0.0009746551513671875,0.9963474394328942,0.9963474394328942,16
0.039867401123046875,50.991673948842454,50.991673948842454,0.0,50.991673948842454,50.991673948842454,0.3763668090332169,0.1,0.001041412353515625,0.02825617790222168,0.04982426,0.3495639,56.798676700594136,0.000896453857421875,0.9956910867555213,0.9956910867555213,17
0.06984472274780273,63.14690395480656,63.14690395480656,0.0,63.14690395480656,63.14690395480656,0.4431863931822102,0.1,0.0010380744934082031,0.01781439781188965,0.05039526,0.2118021,57.43349942601537,0.0009441375732421875,0.9957188860293895,0.9957188860293895,18
0.04082751274108887,35.813731554294066,35.813731554294066,0.0,35.813731554294066,35.813731554294066,0.458510793451707,0.1,0.006376028060913086,0.017812013626098633,0.04992576,0.26698375,55.271522638843244,0.0009567737579345703,0.9911625333185919,0.9911625333185919,19
0.04059767723083496,-5.8593384768812635,-5.8593384768812635,0.0,-5.8593384768812635,-5.8593384768812635,0.38709733620028736,0.1,0.0010488033294677734,0.017760276794433594,0.04987563,0.3753986,49.158436527270794,0.0009567737579345703,1.0018514158710283,1.0018514158710283,20
