ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Epoch,SampleStep
-1148636032.0,-1148636000.0,3539.7446,571766.4,612.39056,111.8,4,5050
-15186452.0,-15186452.0,3437.3218,144466.66,729.62665,164.7,5,6060
-7311486.5,-7311486.0,3408.105,72090.38,1001.299,0.0,6,7070
-5592283.0,-5592282.5,3451.8809,59396.15,1327.2537,0.0,7,8080
-3316157.5,-3316157.2,3543.522,40940.6,1525.5691,0.0,8,9090
-2487882.25,-2487882.0,3676.0112,46010.508,1997.907,0.0,9,10100
-1481136.625,-1481136.2,3834.6826,39751.4,2307.5789,0.0,10,11110
-956752.9375,-956752.56,4020.745,33111.984,2511.17,0.0,11,12120
-813452.0625,-813451.6,4236.6177,32376.145,2902.577,0.0,12,13130
-725591.0,-725590.56,4476.614,29071.99,3255.9053,0.0,13,14140
-546095.6875,-546095.2,4741.5674,29959.59,3591.567,0.0,14,15150
-536943.0625,-536942.56,5030.6475,27114.295,4042.3037,0.0,15,16160
-365482.40625,-365481.88,5342.419,22365.555,4312.875,0.0,16,17170
-309517.625,-309517.06,5679.3345,22047.254,4620.0635,0.0,17,18180
-200280.65625,-200280.05,6040.974,21930.691,5197.446,20.2,18,19190
-170062.203125,-170061.56,6434.2676,18894.633,5325.3647,3.6,19,20200
