time_sampling,AverageReturn,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,time_VF,VF_error_before,VF_error_after,Epoch
0.421769142,79.13832142,26.64046429,113.3987921,21.06600871,4.310254285,1,0.013066292,0.036117554,0.50013494,0.17829353,83.49332443,0.06733799,0.999925379,0.922394535,1
0.480933905,78.98475537,15.61979592,112.3059757,50.3678002,4.501142895,1,0.012671471,0.036913633,0.50033283,0.19708996,83.04246752,0.077096701,0.917859774,0.663466982,2
0.424956083,70.99941355,27.08265405,102.6884271,23.57608758,4.054632667,1,0.012208939,0.033648968,0.50044656,0.19787303,81.83816212,0.068674803,0.671479867,0.397072339,3
0.480830908,56.81338994,48.62962483,121.1060994,-47.56189876,4.452187228,1,0.011772156,0.03473115,0.4990682,0.24837798,79.33568491,0.067819118,0.67091573,0.651744915,4
0.482116938,82.99890618,23.13246861,122.9988567,35.10954279,3.476776806,1,0.012580633,0.029240847,0.5003461,0.21629411,79.70200703,0.066258669,0.389505835,0.327887504,5
0.386515379,65.18082983,34.34735936,121.7146305,9.640512608,3.624632575,1,0.012616158,0.028144836,0.49958414,0.39898688,78.24988931,0.065975189,0.422857443,0.403258797,6
0.433968306,90.92919289,23.39313304,132.4720029,65.32483993,4.20327808,1,0.012429953,0.028701305,0.500217,0.22508973,79.51781967,0.062962294,0.290774463,0.226943699,7
0.42216754,81.48132912,26.49649594,125.3430371,40.55972051,4.78288684,1,0.012443542,0.03002882,0.49962977,0.20222124,79.71417062,0.065992832,0.367869062,0.31466054,8
0.427876711,68.27477076,28.54364377,107.2056053,19.41307376,4.424351428,1,0.010940075,0.028711319,0.4993765,0.1994023,78.57023063,0.064780474,0.33208679,0.316404466,9
0.490275383,62.74873608,36.17862378,117.6071353,6.874171783,4.165466284,1,0.012490511,0.035923481,0.49952525,0.22152224,76.98808118,0.076462507,0.38573088,0.379773586,10
0.429744959,77.91520691,29.81157576,120.9936541,20.56261268,3.963346534,1,0.012716293,0.028396606,0.500997,0.22205423,77.08079375,0.063495159,0.321245658,0.283574607,11
0.42774272,68.53343742,31.92375271,112.0033602,22.06454039,4.006610532,1,0.01210022,0.028052568,0.5008625,0.21833052,76.22605812,0.064097404,0.367634054,0.342431148,12
0.415511131,70.32177108,51.18190552,117.6760948,-73.75168068,3.527990165,1,0.011362076,0.030205965,0.49996674,0.12450568,75.63562941,0.076308966,0.487936209,0.475548021,13
0.485946417,66.7751352,35.14356565,97.85003349,-29.54869104,4.217661226,1,0.012666702,0.029150009,0.50113875,0.1916961,74.74957999,0.055065632,0.374273154,0.363658465,14
0.382438898,60.78811744,61.49471077,129.8989318,-105.5708954,4.167732635,1,0.018187761,0.036625385,0.49935785,0.16275135,73.35343374,0.067762852,0.619743102,0.60468112,15
0.427176714,70.27951097,39.12277339,115.9864029,-13.7081007,4.725915306,1,0.010725975,0.034580946,0.5010148,0.2047448,73.04604146,0.067555666,0.41537437,0.393480399,16
0.43012476,71.25042214,26.58771796,116.0749475,30.08879647,3.949228103,1,0.011716127,0.035160065,0.5003268,0.22295055,72.86647953,0.070139885,0.238726114,0.23483267,17
0.475562096,52.82854519,36.18380604,100.5254427,-20.80259954,4.13464231,1,0.012826681,0.034411907,0.50016975,0.2233827,70.86268609,0.069278955,0.514227347,0.439635703,18
0.478825092,66.96007786,14.53209157,85.95209039,43.44642131,4.061473199,1,0.011428356,0.034569979,0.4998921,0.26497775,70.47242527,0.062719822,0.214350037,0.159608233,19
0.426180601,47.65050626,28.20339567,96.01896283,6.850100956,4.211331092,1,0.012575626,0.035556555,0.49972638,0.2430987,68.19023337,0.067717791,0.657731535,0.509714964,20
0.412778616,70.30552461,53.30188744,105.3393472,-82.43926595,4.549569398,1,0.012151003,0.034874439,0.49919772,0.20706959,68.40176249,0.079784393,0.526325242,0.467208296,21
0.433032036,58.7514322,39.4157937,101.154659,-12.8227659,3.89545074,1,0.012898684,0.037738562,0.50058997,0.23979934,67.43672946,0.067418814,0.468807421,0.44268371,22
0.417968988,46.67986449,38.40109773,97.78610726,-43.86416199,4.776272049,1,0.012427092,0.034119129,0.5035353,0.11223646,65.36104297,0.07551527,0.484573057,0.470109238,23
0.417210102,59.77012411,39.25809926,114.1686128,-35.32416939,4.0629484,1,0.012378693,0.034250259,0.50026685,0.27038574,64.80195108,0.069323063,0.441667185,0.422753941,24
0.480807781,54.08191486,29.91177243,103.2304715,14.40269819,4.245555297,1,0.003060579,0.035457373,0.50043976,0.19397214,63.72994746,0.051231146,0.347330486,0.320559292,25
0.480265856,56.59656573,36.11745899,113.9434375,-0.30037185,4.642477412,1,0.012743235,0.035727501,0.50173295,0.16994585,63.01660929,0.066487312,0.402544048,0.385025454,26
0.424759626,50.10400516,37.60019583,108.6554255,-4.567721736,4.035514741,1,0.012447834,0.035501719,0.50049305,0.20055814,61.72534887,0.074431658,0.571691353,0.526922501,27
0.433514833,62.17689315,14.20377362,85.83226905,38.32490499,4.058024523,1,0.012693167,0.036839962,0.5012929,0.22243248,61.7705033,0.071245432,0.250012691,0.202956341,28
0.412393332,59.12557373,35.23583027,107.8090805,12.994248,4.007640382,1,0.012135506,0.037060976,0.50059915,0.22062269,61.50601034,0.074195623,0.377037185,0.371641872,29
0.409369946,64.75542458,24.84041166,99.91796696,21.77520657,4.273418045,1,0.012060404,0.034474373,0.5004505,0.26787898,61.83095177,0.067983627,0.252370096,0.24315425,30
0.428738832,79.19370653,19.49663083,110.7259092,40.81735087,4.943509211,1,0.012617588,0.036967754,0.49855587,0.19237718,63.56722724,0.074622869,0.193015707,0.157654608,31
0.4809165,77.62401647,22.98853059,104.2123432,25.07982601,4.282395286,1,0.012882471,0.034200907,0.50095177,0.24646819,64.97290617,0.067584276,0.169951473,0.161303938,32
0.408058643,70.80585986,23.45176603,105.3930623,26.89601913,4.435535831,1,0.012701035,0.033703089,0.5006385,0.19294791,65.55620154,0.069725752,0.208346724,0.187185523,33
0.415511131,75.87933508,16.98369112,103.7437498,55.90312862,4.688617304,1,0.012886047,0.034980536,0.49941644,0.18373276,66.58851489,0.067652702,0.142864422,0.125044304,34
0.410120726,81.23675571,18.29181859,112.479984,48.93794312,3.504198199,1,0.012550592,0.033353329,0.5001725,0.20761563,68.05333897,0.074491978,0.141192987,0.131395221,35
0.412222624,87.41367249,18.18371074,121.7006661,55.90606295,4.315304448,1,0.012503386,0.034740448,0.5000227,0.20553486,69.98937232,0.068608999,0.141816334,0.131872821,36
0.41231823,77.71819256,26.27869281,116.1367483,36.53987436,3.9564253,1,0.012860298,0.035123587,0.50020957,0.25841618,70.76225435,0.077091217,0.202689944,0.190160653,37
0.413197517,75.55816434,30.39498006,111.6758565,-8.729134853,4.283727071,1,0.011886835,0.034969568,0.49949813,0.23368977,71.24184535,0.067905188,0.185529135,0.177455138,38
0.408316612,86.77262622,19.58578759,111.3420007,36.07840196,4.035912642,1,0.012203693,0.034517527,0.50094205,0.19300407,72.79492344,0.069752932,0.122613389,0.108985012,39
0.408181429,70.41714479,40.38453413,103.437861,-34.10086617,4.304200913,1,0.012491226,0.034324646,0.49981776,0.25627375,72.55714557,0.069354773,0.271851716,0.24317244,40
0.428682804,72.6121239,16.33983353,98.30473926,44.222587,5.019298083,1,0.012192965,0.035050154,0.49888054,0.17307039,72.5626434,0.068553925,0.114745078,0.106342056,41
0.423235178,68.41575223,15.40039586,99.61677205,40.96144681,3.448018505,1,0.012209415,0.028774261,0.49989158,0.27847943,72.14795429,0.080322504,0.119507126,0.110469304,42
0.480044365,49.95900578,42.55277989,98.98495023,-36.11144778,3.963613738,1,0.012934923,0.036209106,0.49953982,0.14762726,69.92905944,0.061602831,0.582054611,0.477695587,43
0.46456027,34.48980903,47.96645355,79.55847631,-49.31359316,4.136212028,1,0.012495756,0.03363061,0.4999134,0.21322861,66.3851344,0.071269035,0.61125762,0.584207029,44
0.437681913,63.80001608,10.39574152,80.28924082,48.02901908,4.56056349,1,0.012439013,0.035889149,0.4994148,0.29786295,66.12662256,0.061918736,0.240103773,0.092274019,45
0.479050875,57.52334847,13.55970881,77.9046862,29.36949704,3.921251607,1,0.011559486,0.034642935,0.49992076,0.19888094,65.26629515,0.070920229,0.160162721,0.134468983,46
