ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch,SampleStep
-2082.036376953125,-2074.2166,78198.055,21723.43,813.55414,-0.35339837907350824,70449.25,460.52515,-5140.59375,-5132.4917,81020.12,143,14400
-1521.6884765625,-1513.8071,78813.61,15958.634,561.8545,-21.05259329045186,27988.344,132.12723,-2045.1798095703125,-2037.043,81368.55,146,14700
-893.0162353515625,-885.0661,79501.32,9110.811,317.47638,-1.7393632083171542,31943.422,104.46539,-2294.1298828125,-2285.9558,81740.37,149,15000
-598.4149780273438,-590.3904,80246.19,6112.793,181.80304,-23.921077890003435,28969.91,66.95384,-2067.574951171875,-2059.3618,82132.37,152,15300
-473.2084655761719,-465.1244,80840.72,4684.911,139.47171,-18.037857380695893,20166.84,37.52852,-1452.02099609375,-1443.7676,82534.56,155,15600
-323.2761535644531,-315.13156,81445.91,3106.938,75.60795,-7.862499949541113,22916.902,12.048706,-1620.9136962890625,-1612.6161,82975.7,158,15900
-233.05105590820312,-224.8432,82078.58,1881.7689,64.69569,-23.919034193212884,11265.803,10.486156,-831.4824829101562,-823.1563,83262.016,161,16200
-184.2148895263672,-175.94818,82667.11,1344.594,46.155582,-22.476467483630493,15005.637,6.1737223,-1081.6636962890625,-1073.3038,83598.34,164,16500
-129.9962921142578,-121.67505,83212.48,716.5673,28.752817,-22.462474409973982,11943.9375,2.6812706,-872.1255493164062,-863.76276,83628.05,167,16800
-101.81010437011719,-93.442245,83678.625,431.8695,15.499825,-10.829807724950504,8592.145,2.5657864,-645.234130859375,-636.8766,83575.516,170,17100
-113.15908813476562,-104.775085,83840.04,570.01013,18.433582,-14.51680143761174,8534.346,3.9837263,-642.2684936523438,-633.925,83434.984,173,17400
-84.89894104003906,-76.54503,83539.14,255.273,8.188595,-39.89701813056876,6069.0396,1.3575385,-473.6519775390625,-465.3265,83254.64,176,17700
-76.75284576416016,-68.43248,83203.64,156.16022,6.111052,-17.83501824557417,4652.8945,0.71036845,-377.3626708984375,-369.06137,83012.85,179,18000
-75.5997543334961,-67.34319,82565.59,153.33337,4.783976,-20.683529850793217,5055.7188,1.1022896,-404.85565185546875,-396.58472,82709.43,182,18300
-70.61973571777344,-62.440163,81795.766,91.61905,3.709657,-10.424035992269188,8154.079,1.8360658,-614.9683227539062,-606.74,82283.25,185,18600
-70.39752960205078,-62.328804,80687.27,63.61006,6.3459964,-1.9948051299733607,5104.921,0.53215784,-407.717041015625,-399.52838,81886.695,188,18900
-66.63568878173828,-58.71106,79246.3,49.66056,2.3946018,-45.16593404493347,10196.289,0.41771847,-752.1198120117188,-743.9718,81480.03,191,19200
-68.58943939208984,-60.83991,77495.28,79.92054,2.5146337,-0.57356720918471,16537.848,0.4866878,-1181.252685546875,-1173.1368,81158.125,194,19500
-65.06367492675781,-57.4992,75644.77,34.46158,2.1235986,-0.3795370571545805,3680.3472,447.7934,-613.8658447265625,-605.7819,80839.39,197,19800
-63.68341827392578,-56.311783,73716.375,24.229805,1.3919983,-11.299130767094358,9602.19,488.57178,-1042.1466064453125,-1034.0928,80538.22,200,20100
-154.96633911132812,-147.11374,78525.945,1124.4869,25.55443,-11.076007106190524,10837.967,269.91785,-977.7964477539062,-969.757,80394.414,203,20400
-115.97041320800781,-108.34482,76255.95,759.1296,4.7970157,-17.668595916265723,4472.155,281.78186,-555.0496215820312,-547.0256,80240.58,206,20700
-142.24143981933594,-134.66243,75790.05,1192.2911,0.37331912,-19.294390014479216,2911.1538,210.49521,-401.1651916503906,-393.15833,80068.72,209,21000
-182.4874725341797,-174.92055,75669.31,1785.4293,0.5534094,1.1605048286176718,2235.648,156.10504,-318.6310119628906,-310.6439,79871.16,212,21300
-126.15147399902344,-118.590416,75610.58,953.3038,0.38210344,-8.92764127657018,7255.504,102.445946,-621.9841918945312,-614.0159,79682.58,215,21600
-113.12360382080078,-105.56142,75621.86,761.6605,0.4305942,-17.136155802896962,941.4551,95.080956,-189.7211456298828,-181.77536,79457.89,218,21900
-111.57441711425781,-104.01203,75623.84,736.9321,0.6137319,-3.459962317265629,1239.447,53.286194,-181.58059692382812,-173.65826,79223.305,221,22200
-104.86441802978516,-97.30098,75634.375,640.33887,0.35539857,-31.191013082022845,481.75342,28.395712,-113.4501953125,-105.54411,79060.81,224,22500
-90.87415313720703,-83.30794,75662.164,433.23422,0.3867781,-18.35470617215836,856.3611,23.622967,-135.55064392089844,-127.663315,78873.3,227,22800
