ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch
-210474008576.0,-210474010000.0,81221.31,72607150.0,2754288.5,6.312649043142066,20130616.0,337901.44,-1628967040.0,-1628967000.0,80295.484,50
-8737758208.0,-8737758000.0,80593.22,26160916.0,267329.94,-11.19724466278161,19807268.0,422491.2,-262806944.0,-262806930.0,80175.1,53
-1382924416.0,-1382924400.0,80271.914,20565060.0,308950.12,-13.766672098278761,16353600.0,363950.3,-25549736.0,-25549728.0,80140.44,56
-250312256.0,-250312240.0,80158.61,16456711.0,453874.03,-2.6995711090863166,18210412.0,587570.25,-2855004.5,-2854996.5,80122.82,59
-16343119.0,-16343111.0,80125.695,17287324.0,453648.47,-26.078528623672693,16603352.0,504822.75,-1465173.0,-1465165.0,80113.53,62
-1992357.75,-1992349.8,80110.82,15587410.0,509232.7,-17.00489771662748,16372974.0,477702.22,-2807661.0,-2807653.0,80102.234,65
-8977013.0,-8977005.0,80101.84,15145119.0,529568.25,-8.822143803154168,13653354.0,355849.8,-1164747.125,-1164739.1,80098.81,68
-1587790.375,-1587782.4,80097.71,13719649.0,406213.38,-37.81205111104405,12156304.0,294315.28,-1021806.3125,-1021798.3,80089.45,71
-1234566.5,-1234558.5,80091.48,13713854.0,452979.7,-13.43032982472792,10395476.0,389167.94,-966839.8125,-966831.8,80080.62,74
-1089275.375,-1089267.4,80084.97,12771975.0,332454.62,-24.43267176717856,8182030.5,241756.97,-717311.6875,-717303.7,80060.41,77
-899049.375,-899041.4,80073.84,10394036.0,275598.56,-12.129997379850776,8708491.0,280712.0,-779295.875,-779287.9,80028.59,80
-780625.0,-780617.0,80053.24,9174503.0,236074.9,-5.511496795755911,6946092.0,158426.06,-577290.5625,-577282.56,79977.695,83
-810087.125,-810079.1,80025.28,8517010.0,278456.7,-13.534725811129718,6345779.0,142254.64,-525725.875,-525717.9,79899.875,86
