ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch
-221385654272.0,-221385650000.0,80424.03,75891180.0,2648545.5,-27.0614498212473,15348668.0,638092.1,-3487261696.0,-3487261700.0,79506.47,50
-9873497088.0,-9873497000.0,79887.305,19022000.0,753405.44,-12.083260471702243,15157696.0,586358.4,-1007172160.0,-1007172160.0,79286.82,53
-2718697984.0,-2718698000.0,79588.35,15310594.0,578743.75,-37.26509914682194,11871107.0,536661.7,-86554440.0,-86554430.0,79193.086,56
-837475520.0,-837475500.0,79425.83,13967923.0,717733.1,-22.55671015859432,14726450.0,935796.4,-61423104.0,-61423096.0,79169.625,59
-112039208.0,-112039200.0,79357.36,14241700.0,719838.9,-6.212897623408854,13007220.0,864864.0,-4288574.0,-4288566.0,79154.016,62
-28596992.0,-28596984.0,79322.555,13136146.0,664515.2,-14.97220530432461,11650864.0,801772.25,-4301737.5,-4301729.5,79141.35,65
-9848484.0,-9848476.0,79306.36,12529578.0,589284.2,-30.106605250620017,10565866.0,634403.3,-1144312.625,-1144304.8,79128.25,68
-8295735.0,-8295727.0,79296.5,11171852.0,667830.94,-17.18052723037068,10561026.0,621580.4,-1135308.125,-1135300.2,79117.41,71
-1480414.125,-1480406.2,79289.305,10424666.0,670728.5,-21.226731371347505,8535260.0,563985.6,-959256.375,-959248.44,79106.55,74
-1308369.75,-1308361.9,79282.87,10105941.0,615532.1,0.7194215809469287,6650553.5,550141.06,-822354.5625,-822346.6,79092.96,77
-1218467.625,-1218459.8,79273.61,9238403.0,558595.0,-5.501427588872919,7711760.0,524697.0,-1630882.125,-1630874.2,79074.7,80
-947425.5625,-947417.6,79261.17,8018278.0,571368.0,-27.628858796050928,6672320.0,283247.84,-643227.0,-643219.1,79052.14,83
