ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch,SampleStep
-215733878784.0,-215733880000.0,81221.31,73150890.0,2834730.5,14.23981117934855,14908462.0,182792.22,-3567392256.0,-3567392300.0,80187.42,50,5100
-9918287872.0,-9918288000.0,80587.3,28197256.0,285253.9,-16.116792762325392,11939762.0,245330.58,-341282336.0,-341282340.0,80007.62,53,5400
-1382008320.0,-1382008300.0,80277.64,24017034.0,302631.78,-20.21266189895183,13328882.0,297422.72,-119402760.0,-119402750.0,79962.47,56,5700
-460247328.0,-460247330.0,80164.5,20189068.0,465391.5,-10.339798281654998,12415998.0,227372.48,-5765272.0,-5765264.0,79944.375,59,6000
-117753112.0,-117753100.0,80102.016,19612360.0,479203.53,-27.040839143129205,10833158.0,272450.12,-8299830.0,-8299822.0,79931.45,62,6300
-11029373.0,-11029365.0,80079.32,16615512.0,536139.9,-32.47060463815439,10732310.0,345032.7,-1564950.875,-1564942.9,79925.7,65,6600
-2764380.5,-2764372.5,80069.62,16102560.0,614589.06,-11.821482312745164,10279597.0,184273.56,-16833748.0,-16833740.0,79919.82,68,6900
-8420131.0,-8420123.0,80064.03,15370386.0,512856.06,-39.612786888028225,10256463.0,133569.44,-784475.6875,-784467.7,79912.516,71,7200
-1414110.5,-1414102.5,80057.82,14499211.0,555300.9,-29.33535898392052,10472584.0,243187.19,-873275.75,-873267.75,79942.22,74,7500
-1246781.0,-1246773.0,80051.18,14934667.0,348949.03,-16.493355899486026,7430921.5,187381.27,-629691.125,-629683.1,79925.92,77,7800
-2638342.5,-2638334.5,80038.58,11006258.0,271307.66,-6.645097065159213,7658273.5,195922.06,-650854.875,-650846.9,79892.58,80,8100
-1582834.125,-1582826.1,80020.07,10239590.0,239851.34,-7.015200923135603,6095244.5,255911.75,-585682.0,-585674.0,79840.016,83,8400
-789984.4375,-789976.44,79993.75,9324506.0,234906.19,-16.33962923619622,5599717.0,232004.72,-535973.5,-535965.5,79786.125,86,8700
-643037.25,-643029.25,79952.52,7724387.0,177757.81,-18.66941839703355,5435265.0,204844.98,-506467.0625,-506459.1,79720.43,89,9000
-590778.6875,-590770.7,79903.625,6481955.0,224772.61,-18.263725134101644,5043003.0,182609.34,-5919911.0,-5919903.0,79638.56,92,9300
